overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"12 27, 2011",A3BL564DYD9MJY,B005AROG4E,Brice S.,"This game has so many issues I don't even know where to start. From the horrible controls to the frustrating calibration issues, this game is a mess. Waste of money. I will be returning due to calibration issues. Worst game I've ever seen. Ever!",Just a plain bad game.,1324944000,4,{'Format:': ' Video Game'},
1.0,False,"12 20, 2016",A3G9FZJ3WMNHA4,B01FG8PXXO,J. Verma,Hot garbage to be sincere... I get maybe half a dozen servers showing up at any time. It tells me there are hundreds of hardcore matches going on and yet when I try to join one it places me in an empty server alone. Lot of error connecting to other servers that show up as well. No my internet does not suck. 150 down connection that gives me zero problems in the other dozen games I play here and there every day. Just a very dumbed down experience if you are coming into this from BF4.,Hot garbage to be sincere,1482192000,,"{'Edition:': ' Standard', 'Platform:': ' PC Online Game Code'}",
1.0,False,"05 13, 2015",A315ZD91YI93WH,B00URE9SSE,Cinema Fan - VGF Legend,"Final fantasy 10 is where final fantasy started to go down hill fast. Why does square feel like making a remaster of two horrible games. Square quit now, please let other makers make RPGs your days where up after the ps1",Why square?,1431475200,3,{'Platform:': ' PlayStation 4'},
1.0,True,"02 14, 2014",A1IYYA15QACXW7,B00EFFW0HC,Carlos Hurtado,"I have the Slim 360 so I was no tubule to play it. I did not know this I've only owned a system for about a yeR so I'm not familiar with certain things that most gamers know. I had know idea you needed a HDD. I didn't see it mention in the advertisements, the cashier at GameStop didn't mention. I think it's pretty F'ed up that EA doesn't say a thing about you needing one. Yes it says it on the box, but most people see that warning. All I read is the rating and to see if there's multiple player or co-op. I've never had this issue while purchasing a game and the thing that sucks is I can't even return it because it's already opened and EA doesn't give a s***. They tell me they aren't going to help me and that I should just buy a HDD. Which cost $129. I just spent $59.99 plus the high CA Tax. Not to mention I would have spent another $50 bucks on the season pass another $60 on Xbox live gold. What the hell EA ? Could you be anymore greedy?",You need a HDD to play.,1392336000,,{'Format:': ' Video Game'},
1.0,False,"10 30, 2008",A35ASBCRRQJC6Y,B0019C4MU2,Terrance P. O&#039;Hanlon,"This is actually a GREAT GAME which I would otherwise give 4.5 stars but the damn Securom DRM messes with me. I don't appreciate EA installing malware on my system (especially when they don't disclose it up front). When will they learn. Take a clue from Stardock/Impulse where Sins of a Solar Empire SOLD over a million copies WITHOUT DRM. What's the trick? Real customer support and additional content updates for PAYING customers. OK OK - Dead Space. Love the game: great graphics, atmospherics, voice acting, level design, cool weapons and creatures. Superb! I'm 3/4 through the game and havin loads of fun. EA would have made big $$$ on this one but shot themselves in the foot AGAIN. Can you say Idiots...",EA f*$#ed up again - DRM - beware of the rootkit,1225324800,7,{'Format:': ' Video Game'},
1.0,False,"07 6, 2008",AXV3RVHA8W6H3,B000X2SGRY,C. Tiong,"I don't know if Bourne Conspiracy developers got confused with the movie, Heat because the game plays like Heat with a few Bourne scenes from the movie and a few repeating Bourne close combat moves thrown into it.

The game makes Jason Bourne very unlikeable character and only knows a few hand to hand fight  moves over and over again. In the movie, Bourne is a thinker. In the game, he behaves like a psycho killer.

It is 100% point A to B. You cannot do anything else. Most illogical about the game is when it's timed escape with very limited time, Bourne loves to go into hand to hand fights than trying to run as fast as he can to escape.

Unless you like Bourne Identify too much, this game gets boring very fast because all the fighting are very repetitive with not creativity.","Bourne plays like the movie, Heat with a few Bourne hand to hand combat moves",1215302400,7,{'Platform:': ' PlayStation 3'},
1.0,False,"09 18, 2010",A19H7314BXY6VO,B000ZKA0J6,Blueeagle,"Let me first say that I count myself lucky in that I never bought this crappy game.  I was able to find out through the gamer grapevine and industry grapevine what a piece of garbage this software was going to be.  Then I watched the install and playing of this game on a friend's computer to verify what I've heard, and yes it is true as stated by numerous other reviewers here.

I won't waist my time and yours repeating what has already been said.  But yes Blizzard makes you jump through many hoops and then tightens the hoops around your neck.  They treat the paying public like criminals who buy their products and who made their company.  I have a comment about that, ""don't bite the hand that feeds you.""  The large price for a game that is only 1/3 complete with only the terrain part of the game, and the fact that you have to be connected to the internet to play the game, to get any more maps, and to get your game saves/stats, etc.  Also, you can never reset your account it is the same for life unless you pay for another copy of the game, plus you can only play with people in your region, period.  And yes, one must be connected to the internet to play the full installed version of the game.  If you are not connected the game does not have full features.  AND every 4 weeks you must connect to your online account or your game will shut down, and that's for the life of the game.  Also, the Blizzard server saves and compiles data and all your stats from the game whether you want it or not; and it stays as part of your account for the life of your game and you can not change or reset it without buying another copy of the game.  Also, for small extra online addons here and there you will pay and pay again if you want them.

All this sounds great huh?  This is borderline criminal if not criminal.  It is apparent that this industry needs to be caught up to modern times with some form of regulation.  The consumer needs privacy and protection from this kind of crap.  Phone companies can not listen in on your calls just because they made the phone, and car companies can not track you and tell you to drive the car to their home office every month so they can make sure you are doing the right thing with the car.

I think its best to stay away from this game and this company.  I will not ever buy anymore of their so called products.  And they are now releasing Diablo 3 that will be just like this.  Don't make me laugh.

I write this as a warning to those who don't know what this company is doing.  Don't waist your money.  Save yourself the hassle, the headaches, and the aggravation.  Again, I count myself lucky that I did not throw my money down the hole called Blizzard.

Their are plenty of other good things to spend your money on, and avoid this nonsense.",Boycott Blizzard,1284768000,12,{'Format:': ' Video Game'},
1.0,False,"04 6, 2002",A352UWZ826D8KX,B00001KUII,Jim Bettis,"Hey, maybe I'm doing something wrong but, I haven't been able to get this game to do much of anything... the graphics are poor for this day and age and the controls were even worse... I didn't play very long though, so it's not fair to say it truly [stinks]... Maybe I'll try it again and see if I missed something...",Why is this game popular?,1018051200,,,
1.0,True,"12 19, 2017",AROI7KZTHBVP2,B014VZ5RHA,Wade,"Tedious, dull, & unforgiving, to a casual gamer.  You can turn down the difficulty level - mainly meaning reducing the effect of damage on your car - and also enable various assists (e.g. for steering, braking, etc), but alas those ultimately all combine into one of only two outcomes:  pointlessly easy because the game's basically playing itself for you, or too difficult.

In particular, even on the middle 'difficulty' (damage-sensitivity) setting, the default, the cars have the structural integrity of wet egg cartons.  Multiple times I've just nudged a length of plastic netting and had the transmission fail entirely, or the steering knocked so far out of alignment the car starts doing donuts by itself.  It's utterly ridiculous.  Real cars are *way* tougher than this game supposes.

There's also no impression of speed.  The little speedometre in the corner might say things like ""123 km/h"", but to look at the screen itself, it feels like you're barely moving.  Which compounds the frustration at the terrible handling and vehicle toughness.

Also, the game gives you a non-optional navigator which repetitively spouts gibberish nominally to inform you about upcoming turns, but more often than not by the time it comments about a turn, you're already in it - or done with it entirely - and in some races, inexplicably, there's no navigation at all.  Seemingly a straight out, intermittent bug.

Note that while there are tutorials that are supposed to explain the nomenclature & conventions of the navigator, they don't actually explain anything at all - they just put you on test courses and have you drive them as repeatedly and tiresomely as the normal races.  Baffling.

There are many other bugs & design flaws too many to cover in full here.  One last one of particular note, though:  the menu systems throughout are incomprehensible in their navigation structure - 'back' will more often than not take you to the very main screen, not actually back or up one menu, requiring tedious drilling back down as many as six levels to get to where you were.  Compounding that further is that when you do land on many of the menus, the game frequently throws up error dialogs seemingly all relating to being unable to contact some online service it wants - seemingly one that's been shut down at this point.  Which evidently isn't necessary to the actual game, yet it really wants to hassle you about it all the time regardless.  Sigh.","Perhaps best left to mega rally fans, if anyone at all",1513641600,3,{'Format:': ' Video Game'},
1.0,False,"03 15, 2015",AVP9RBZ7H6PVZ,B00519BF0O,Greg137,"I purchased this from Walmart and not Amazon.. So I don't blame Amazon..
This thing was cheap so I figured why not? Worst mistake ever.. People have written online reviews claiming that it is average for hack and slash games but poor on all other accounts...  I am here to tell you that those reviewers were lying.. Played this on dark souls 2(hack and slash action rpg) and I found that the controller actually adds random inputs while I was playing!!  For some reason, it kept forcing my character to move  left, and it would also  turn my character around whenever I would let go of the stick!  The Product itself is defective..  This controller has gotten me killed on more than one occasion... I advise against this product..  Good grip is meaningless if the controller tries to highjack the game play...  People who often sing the praises of this controller have had it quit on them the following day after the review.. Mine hasn't died yet, unfortunately... I wish this controller of mine would put itself out of its own misery already...  You either get good controls only for it to die, or you get a buggy one that refuses to die...  We get what we pay for...",Worst mistake ever,1426377600,,,
1.0,True,"12 4, 2013",ANGHHQEVJCMVC,B006WQR3GA,Michael Duca,"This game you play as a bunch of dudes, which are supposed to be good guys, but all you do is hunt down innocent aliens from beyond and slaughter them like defenseless hamburger meat. I mean come on. Eventually, the hamburger meat decides to fight back, which really, it should! Robots and flying aliens and stuff, but humanity never should have pushed the aliens this far. This game is truly a performance art piece symbolizing the cruelty of humans.",ugh this game,1386115200,,"{'Edition:': ' Standard', 'Platform:': ' Xbox 360'}",
1.0,True,"10 18, 2009",ADZFOQX0CUCJC,B0015392CI,Roberto B,"A VERY difficult sim to learn. Graphics are disappointing and unrealistic. Program also uses an enormous amount of disc space on your hard drive.
After using MS Flight Sim X, I removed X-Plane and placed its disc in the circular file.",X-Plane a Big Disappointment,1255824000,3,,
1.0,True,"04 24, 2017",AC2L5LTX8GP1A,B01GW3POY0,brainiac,"When I first started this game, I will admit that I was pretty involved. Although it is not by any means a Resident Evil game - it is a generic game based on 20 years of horror cliche that they slapped the Resident Evil / Biohazard name on to move a few more copies - it was pretty interesting at first. When you are taken hostage and then have to sneak around the house, playing in VR I was genuinely scared and creeped out.

Then you make it to the garage and burn donuts in a small room with a giant named Jack, and the whole thing falls apart.

I'm not going to go too deep into spoilers, but I have to say this is a bad game. It's dumb, it's repetitive, it is unoriginal (every horror cliche in the world is in this game - letters from your 'dead' wife, creepy town, hillbillies with questionable dietary habits, Blair Witch, torture porn, gross-out, etc. etc). There is zero replay value (is not even worth playing through once). There are no real puzzles, in fact the only mildly challenging puzzle is repeated. The environments aren't interesting, the story is dumb, the enemies are boring bullet sponges.

I honestly can't imagine why it has such a high rating on this site. And everyone keeps repeating that dumb line about ""a return to form"", which only indicates they've never played a Resident Evil game before (this is nothing like Resident Evil of the past, which is what a ""return to form"" means). The only positive thing that can be said is it's not another RE5 or RE6 (or RE4, which was overrated). But it is also not Resident Evil. It's Every Horror Cliche from the Past 20 Years: The Game.",Every Horror Cliche from the Past 20 Years: The Game!,1492992000,10,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
